Chromosome	Region	Coverage	Expected Coverage	Corrected Coverage	Sampleid
Pf3D7_07_v3	402385-406341	228131.00	373496.48	0.61	S1453-GH_S12
Pf3D7_08_v3	547896-551057	2708251.00	1250700.73	2.17	S1453-GH_S12
Pf3D7_11_v3	1292966-1296696	430790.00	1445381.01	0.30	S1453-GH_S12
Pf3D7_13_v3	1724600-1727877	3282577.00	3692396.81	0.89	S1453-GH_S12
Pf3D7_MIT_v3	3492-4622	4158977.00	3096422.46	1.34	S1453-GH_S12
Pf3D7_01_v3	177187-181825	191926.00	534755.81	0.36	S1612-GH_S29
Pf3D7_03_v3	221112-223145	1119792.00	526669.19	2.13	S1612-GH_S29
Pf3D7_04_v3	747897-750065	576944.00	612986.80	0.94	S1612-GH_S29
Pf3D7_05_v3	955955-963095	1177837.00	732873.18	1.61	S1612-GH_S29
Pf3D7_07_v3	402385-406341	206959.00	239543.50	0.86	S1612-GH_S29
Pf3D7_08_v3	547896-551057	2750567.00	770295.63	3.57	S1612-GH_S29
Pf3D7_11_v3	1292966-1296696	994823.00	1158407.52	0.86	S1612-GH_S29
Pf3D7_13_v3	1724600-1727877	2850643.00	2752327.53	1.04	S1612-GH_S29
Pf3D7_MIT_v3	3492-4622	1992433.00	2064310.61	0.97	S1612-GH_S29
Pf3D7_01_v3	177187-181825	55530.00	182949.43	0.30	10278-GH-D35_S25
Pf3D7_03_v3	221112-223145	279943.00	158548.05	1.77	10278-GH-D35_S25
Pf3D7_04_v3	747897-750065	138385.00	201464.23	0.69	10278-GH-D35_S25
Pf3D7_05_v3	955955-963095	332511.00	254076.04	1.31	10278-GH-D35_S25
Pf3D7_07_v3	402385-406341	70830.00	76214.62	0.93	10278-GH-D35_S25
Pf3D7_08_v3	547896-551057	753576.00	260513.78	2.89	10278-GH-D35_S25
Pf3D7_11_v3	1292966-1296696	298492.00	335504.94	0.89	10278-GH-D35_S25
Pf3D7_13_v3	1724600-1727877	1107003.00	845059.61	1.31	10278-GH-D35_S25
Pf3D7_MIT_v3	3492-4622	821875.00	605664.29	1.36	10278-GH-D35_S25
Pf3D7_01_v3	177187-181825	252128.00	686972.45	0.37	S1551-GH_S17
Pf3D7_03_v3	221112-223145	1390156.00	604487.92	2.30	S1551-GH_S17
Pf3D7_04_v3	747897-750065	916343.00	787794.53	1.16	S1551-GH_S17
Pf3D7_05_v3	955955-963095	1492619.00	978088.75	1.53	S1551-GH_S17
Pf3D7_07_v3	402385-406341	389963.00	318756.35	1.22	S1551-GH_S17
Pf3D7_08_v3	547896-551057	3059078.00	1002776.64	3.05	S1551-GH_S17
Pf3D7_11_v3	1292966-1296696	808273.00	1250319.65	0.65	S1551-GH_S17
Pf3D7_13_v3	1724600-1727877	2958304.00	3159834.57	0.94	S1551-GH_S17
Pf3D7_MIT_v3	3492-4622	2390054.00	2384351.90	1.00	S1551-GH_S17
Pf3D7_01_v3	177187-181825	30051.00	527371.00	0.06	DD2_S33
Pf3D7_03_v3	221112-223145	706232.00	502020.58	1.41	DD2_S33
Pf3D7_04_v3	747897-750065	1289868.00	738806.25	1.75	DD2_S33
Pf3D7_05_v3	955955-963095	3509872.00	926124.66	3.79	DD2_S33
Pf3D7_07_v3	402385-406341	135120.00	256574.15	0.53	DD2_S33
Pf3D7_08_v3	547896-551057	2319404.00	823809.45	2.82	DD2_S33
Pf3D7_11_v3	1292966-1296696	229601.00	1030066.43	0.22	DD2_S33
Pf3D7_13_v3	1724600-1727877	2800562.00	2600866.50	1.08	DD2_S33
Pf3D7_MIT_v3	3492-4622	2017786.00	2037825.28	0.99	DD2_S33
Pf3D7_01_v3	177187-181825	99067.00	594936.99	0.17	10313-GH-D21_S31
Pf3D7_03_v3	221112-223145	1243864.00	615134.10	2.02	10313-GH-D21_S31
Pf3D7_04_v3	747897-750065	1006529.00	725477.80	1.39	10313-GH-D21_S31
Pf3D7_05_v3	955955-963095	1924477.00	879828.43	2.19	10313-GH-D21_S31
Pf3D7_07_v3	402385-406341	235709.00	269963.08	0.87	10313-GH-D21_S31
Pf3D7_08_v3	547896-551057	2984398.00	868530.99	3.44	10313-GH-D21_S31
Pf3D7_11_v3	1292966-1296696	755469.00	1311048.92	0.58	10313-GH-D21_S31
Pf3D7_13_v3	1724600-1727877	3071271.00	3258945.69	0.94	10313-GH-D21_S31
Pf3D7_MIT_v3	3492-4622	2431223.00	2356840.95	1.03	10313-GH-D21_S31
Pf3D7_01_v3	177187-181825	181201.00	683830.72	0.26	S1395-GH_S6
Pf3D7_03_v3	221112-223145	1430807.00	657378.18	2.18	S1395-GH_S6
Pf3D7_04_v3	747897-750065	969571.00	808699.18	1.20	S1395-GH_S6
Pf3D7_05_v3	955955-963095	1812543.00	1010474.64	1.79	S1395-GH_S6
Pf3D7_07_v3	402385-406341	319149.00	319907.67	1.00	S1395-GH_S6
Pf3D7_08_v3	547896-551057	3276867.00	1005000.14	3.26	S1395-GH_S6
Pf3D7_11_v3	1292966-1296696	886652.00	1373622.10	0.65	S1395-GH_S6
Pf3D7_13_v3	1724600-1727877	3104560.00	3560308.61	0.87	S1395-GH_S6
Pf3D7_MIT_v3	3492-4622	2344531.00	2529781.22	0.93	S1395-GH_S6
Pf3D7_01_v3	177187-181825	173813.00	535576.97	0.32	S1411-GH_S8
Pf3D7_03_v3	221112-223145	1109556.00	534275.94	2.08	S1411-GH_S8
Pf3D7_04_v3	747897-750065	665385.00	619176.55	1.07	S1411-GH_S8
Pf3D7_05_v3	955955-963095	1370568.00	755542.90	1.81	S1411-GH_S8
Pf3D7_07_v3	402385-406341	225565.00	248347.20	0.91	S1411-GH_S8
Pf3D7_08_v3	547896-551057	3091498.00	777555.04	3.98	S1411-GH_S8
Pf3D7_11_v3	1292966-1296696	831370.00	1127363.58	0.74	S1411-GH_S8
Pf3D7_13_v3	1724600-1727877	2949053.00	2814819.44	1.05	S1411-GH_S8
Pf3D7_MIT_v3	3492-4622	1693042.00	2040545.39	0.83	S1411-GH_S8
Pf3D7_01_v3	177187-181825	131834.00	281982.72	0.47	10227-GH-D35_S19
Pf3D7_03_v3	221112-223145	481150.00	235041.58	2.05	10227-GH-D35_S19
Pf3D7_04_v3	747897-750065	261170.00	317098.73	0.82	10227-GH-D35_S19
Pf3D7_05_v3	955955-963095	542973.00	404918.30	1.34	10227-GH-D35_S19
Pf3D7_07_v3	402385-406341	148184.00	128333.39	1.15	10227-GH-D35_S19
Pf3D7_08_v3	547896-551057	1292017.00	410075.62	3.15	10227-GH-D35_S19
Pf3D7_11_v3	1292966-1296696	457718.00	480467.61	0.95	10227-GH-D35_S19
Pf3D7_13_v3	1724600-1727877	1931873.00	1284713.05	1.50	10227-GH-D35_S19
Pf3D7_MIT_v3	3492-4622	1296336.00	955842.32	1.36	10227-GH-D35_S19
Pf3D7_01_v3	177187-181825	47747.00	125573.33	0.38	3D7_S32
Pf3D7_03_v3	221112-223145	241432.00	106604.98	2.26	3D7_S32
Pf3D7_04_v3	747897-750065	123893.00	137541.80	0.90	3D7_S32
Pf3D7_05_v3	955955-963095	206459.00	175249.46	1.18	3D7_S32
Pf3D7_07_v3	402385-406341	50000.00	53746.26	0.93	3D7_S32
Pf3D7_08_v3	547896-551057	651147.00	179880.07	3.62	3D7_S32
Pf3D7_11_v3	1292966-1296696	260805.00	219580.91	1.19	3D7_S32
Pf3D7_13_v3	1724600-1727877	963970.00	571502.54	1.69	3D7_S32
Pf3D7_MIT_v3	3492-4622	1185473.00	451571.66	2.63	3D7_S32
Pf3D7_01_v3	177187-181825	286038.00	616603.86	0.46	10272-GH-D35_S24
Pf3D7_03_v3	221112-223145	783161.00	466264.14	1.68	10272-GH-D35_S24
Pf3D7_04_v3	747897-750065	730072.00	698780.94	1.04	10272-GH-D35_S24
Pf3D7_05_v3	955955-963095	1160469.00	914311.13	1.27	10272-GH-D35_S24
Pf3D7_07_v3	402385-406341	344740.00	279638.73	1.23	10272-GH-D35_S24
Pf3D7_08_v3	547896-551057	2177580.00	905426.22	2.41	10272-GH-D35_S24
Pf3D7_11_v3	1292966-1296696	692475.00	946862.93	0.73	10272-GH-D35_S24
Pf3D7_13_v3	1724600-1727877	2930179.00	2559943.20	1.14	10272-GH-D35_S24
Pf3D7_MIT_v3	3492-4622	3117925.00	2044900.94	1.52	10272-GH-D35_S24
Pf3D7_01_v3	177187-181825	123964.00	630138.36	0.20	S1531-GH_S15
Pf3D7_03_v3	221112-223145	1524367.00	681137.47	2.24	S1531-GH_S15
Pf3D7_04_v3	747897-750065	1215573.00	771821.95	1.57	S1531-GH_S15
Pf3D7_05_v3	955955-963095	2097731.00	949170.48	2.21	S1531-GH_S15
Pf3D7_07_v3	402385-406341	303364.00	297310.14	1.02	S1531-GH_S15
Pf3D7_08_v3	547896-551057	3169666.00	929173.06	3.41	S1531-GH_S15
Pf3D7_11_v3	1292966-1296696	934985.00	1379819.68	0.68	S1531-GH_S15
Pf3D7_13_v3	1724600-1727877	3263134.00	3607125.67	0.90	S1531-GH_S15
Pf3D7_MIT_v3	3492-4622	1913681.00	2467186.97	0.78	S1531-GH_S15
Pf3D7_01_v3	177187-181825	76730.00	605141.35	0.13	S1566-GH_S28
Pf3D7_03_v3	221112-223145	1196970.00	619533.41	1.93	S1566-GH_S28
Pf3D7_04_v3	747897-750065	1030981.00	762964.17	1.35	S1566-GH_S28
Pf3D7_05_v3	955955-963095	2328783.00	966225.48	2.41	S1566-GH_S28
Pf3D7_07_v3	402385-406341	295566.00	297902.76	0.99	S1566-GH_S28
Pf3D7_08_v3	547896-551057	2850269.00	910512.92	3.13	S1566-GH_S28
Pf3D7_11_v3	1292966-1296696	816187.00	1221280.76	0.67	S1566-GH_S28
Pf3D7_13_v3	1724600-1727877	3387255.00	3224259.25	1.05	S1566-GH_S28
Pf3D7_MIT_v3	3492-4622	1846186.00	2246924.30	0.82	S1566-GH_S28
Pf3D7_01_v3	177187-181825	75304.00	564337.57	0.13	10311-GH-D35_S27
Pf3D7_03_v3	221112-223145	1135381.00	596345.77	1.90	10311-GH-D35_S27
Pf3D7_04_v3	747897-750065	968669.00	716097.26	1.35	10311-GH-D35_S27
Pf3D7_05_v3	955955-963095	2307204.00	896073.83	2.57	10311-GH-D35_S27
Pf3D7_07_v3	402385-406341	251209.00	270961.83	0.93	10311-GH-D35_S27
Pf3D7_08_v3	547896-551057	2761019.00	846341.37	3.26	10311-GH-D35_S27
Pf3D7_11_v3	1292966-1296696	668415.00	1211309.71	0.55	10311-GH-D35_S27
Pf3D7_13_v3	1724600-1727877	3188011.00	3160823.89	1.01	10311-GH-D35_S27
Pf3D7_MIT_v3	3492-4622	1956276.00	2196794.87	0.89	10311-GH-D35_S27
Pf3D7_01_v3	177187-181825	1270.00	3818.30	0.33	10063-GH-D42_S2
Pf3D7_03_v3	221112-223145	10806.00	2685.24	4.02	10063-GH-D42_S2
Pf3D7_04_v3	747897-750065	3193.00	2423.58	1.32	10063-GH-D42_S2
Pf3D7_05_v3	955955-963095	5714.00	4005.17	1.43	10063-GH-D42_S2
Pf3D7_07_v3	402385-406341	1078.00	1783.01	0.60	10063-GH-D42_S2
Pf3D7_08_v3	547896-551057	11310.00	5740.09	1.97	10063-GH-D42_S2
Pf3D7_11_v3	1292966-1296696	388.00	431.90	0.90	10063-GH-D42_S2
Pf3D7_13_v3	1724600-1727877	35986.00	11307.64	3.18	10063-GH-D42_S2
Pf3D7_MIT_v3	3492-4622	31649.00	7850.28	4.03	10063-GH-D42_S2
Pf3D7_01_v3	177187-181825	237200.00	547283.80	0.43	10263-GH-D35_S22
Pf3D7_03_v3	221112-223145	1186068.00	530916.65	2.23	10263-GH-D35_S22
Pf3D7_04_v3	747897-750065	649331.00	625239.28	1.04	10263-GH-D35_S22
Pf3D7_05_v3	955955-963095	1157025.00	762735.91	1.52	10263-GH-D35_S22
Pf3D7_07_v3	402385-406341	282867.00	248947.15	1.14	10263-GH-D35_S22
Pf3D7_08_v3	547896-551057	2785551.00	790378.18	3.52	10263-GH-D35_S22
Pf3D7_11_v3	1292966-1296696	857616.00	1124654.73	0.76	10263-GH-D35_S22
Pf3D7_13_v3	1724600-1727877	2913198.00	2874179.24	1.01	10263-GH-D35_S22
Pf3D7_MIT_v3	3492-4622	1882238.00	2054064.39	0.92	10263-GH-D35_S22
Pf3D7_01_v3	177187-181825	111447.00	245337.62	0.45	10265-GH-D42_S23
Pf3D7_03_v3	221112-223145	500673.00	201153.00	2.49	10265-GH-D42_S23
Pf3D7_04_v3	747897-750065	256277.00	273629.32	0.94	10265-GH-D42_S23
Pf3D7_05_v3	955955-963095	448264.00	350290.33	1.28	10265-GH-D42_S23
Pf3D7_07_v3	402385-406341	126284.00	113475.38	1.11	10265-GH-D42_S23
Pf3D7_08_v3	547896-551057	1137006.00	356917.13	3.19	10265-GH-D42_S23
Pf3D7_11_v3	1292966-1296696	361302.00	401928.99	0.90	10265-GH-D42_S23
Pf3D7_13_v3	1724600-1727877	1810869.00	1097660.36	1.65	10265-GH-D42_S23
Pf3D7_MIT_v3	3492-4622	1150063.00	802874.65	1.43	10265-GH-D42_S23
Pf3D7_01_v3	177187-181825	189980.00	402064.91	0.47	S1564-GH_S18
Pf3D7_03_v3	221112-223145	739851.00	322127.54	2.30	S1564-GH_S18
Pf3D7_04_v3	747897-750065	469833.00	454152.53	1.03	S1564-GH_S18
Pf3D7_05_v3	955955-963095	778245.00	590233.19	1.32	S1564-GH_S18
Pf3D7_07_v3	402385-406341	202451.00	187938.51	1.08	S1564-GH_S18
Pf3D7_08_v3	547896-551057	1699109.00	588529.13	2.89	S1564-GH_S18
Pf3D7_11_v3	1292966-1296696	548214.00	635475.28	0.86	S1564-GH_S18
Pf3D7_13_v3	1724600-1727877	2513844.00	1763627.60	1.43	S1564-GH_S18
Pf3D7_MIT_v3	3492-4622	2040576.00	1295465.27	1.58	S1564-GH_S18
Pf3D7_01_v3	177187-181825	142.00	452.62	0.31	10164-GH-D42_S10
Pf3D7_03_v3	221112-223145	581.00	437.42	1.33	10164-GH-D42_S10
Pf3D7_04_v3	747897-750065	670.00	636.62	1.05	10164-GH-D42_S10
Pf3D7_05_v3	955955-963095	3240.00	1270.42	2.55	10164-GH-D42_S10
Pf3D7_07_v3	402385-406341	475.00	609.38	0.78	10164-GH-D42_S10
Pf3D7_08_v3	547896-551057	12123.00	892.05	13.59	10164-GH-D42_S10
Pf3D7_11_v3	1292966-1296696	845.00	1429.15	0.59	10164-GH-D42_S10
Pf3D7_13_v3	1724600-1727877	25175.00	4533.38	5.55	10164-GH-D42_S10
Pf3D7_MIT_v3	3492-4622	33974.00	1602.20	21.20	10164-GH-D42_S10
Pf3D7_01_v3	177187-181825	256617.00	496962.84	0.52	S1645-GH_S30
Pf3D7_03_v3	221112-223145	1001212.00	404815.71	2.47	S1645-GH_S30
Pf3D7_04_v3	747897-750065	593879.00	561683.09	1.06	S1645-GH_S30
Pf3D7_05_v3	955955-963095	959880.00	715184.40	1.34	S1645-GH_S30
Pf3D7_07_v3	402385-406341	306009.00	230869.69	1.33	S1645-GH_S30
Pf3D7_08_v3	547896-551057	2160677.00	726057.06	2.98	S1645-GH_S30
Pf3D7_11_v3	1292966-1296696	692885.00	808371.49	0.86	S1645-GH_S30
Pf3D7_13_v3	1724600-1727877	2710154.00	2203873.15	1.23	S1645-GH_S30
Pf3D7_MIT_v3	3492-4622	2412221.00	1623649.07	1.49	S1645-GH_S30
Pf3D7_01_v3	177187-181825	2216.00	584.34	3.79	10068-GH-D35_S3
Pf3D7_03_v3	221112-223145	52199.00	2390.65	21.83	10068-GH-D35_S3
Pf3D7_04_v3	747897-750065	3654.00	2033.54	1.80	10068-GH-D35_S3
Pf3D7_05_v3	955955-963095	8179.00	6741.06	1.21	10068-GH-D35_S3
Pf3D7_07_v3	402385-406341	449.00	2233.05	0.20	10068-GH-D35_S3
Pf3D7_08_v3	547896-551057	14887.00	6716.96	2.22	10068-GH-D35_S3
Pf3D7_11_v3	1292966-1296696	1134.00	3151.94	0.36	10068-GH-D35_S3
Pf3D7_13_v3	1724600-1727877	31147.00	9658.47	3.22	10068-GH-D35_S3
Pf3D7_MIT_v3	3492-4622	21824.00	3232.99	6.75	10068-GH-D35_S3
Pf3D7_01_v3	177187-181825	6227.00	24302.06	0.26	10027-GH-D28_S1
Pf3D7_03_v3	221112-223145	43665.00	18607.46	2.35	10027-GH-D28_S1
Pf3D7_04_v3	747897-750065	23971.00	27490.85	0.87	10027-GH-D28_S1
Pf3D7_05_v3	955955-963095	47015.00	35310.51	1.33	10027-GH-D28_S1
Pf3D7_07_v3	402385-406341	11058.00	10424.52	1.06	10027-GH-D28_S1
Pf3D7_08_v3	547896-551057	56168.00	35259.98	1.59	10027-GH-D28_S1
Pf3D7_11_v3	1292966-1296696	30403.00	39239.73	0.77	10027-GH-D28_S1
Pf3D7_13_v3	1724600-1727877	96664.00	96096.05	1.01	10027-GH-D28_S1
Pf3D7_MIT_v3	3492-4622	167861.00	86622.89	1.94	10027-GH-D28_S1
Pf3D7_01_v3	177187-181825	30499.00	672839.70	0.05	W2_S34
Pf3D7_03_v3	221112-223145	696851.00	555446.68	1.25	W2_S34
Pf3D7_04_v3	747897-750065	1457408.00	897083.54	1.62	W2_S34
Pf3D7_05_v3	955955-963095	3106525.00	1141416.85	2.72	W2_S34
Pf3D7_07_v3	402385-406341	93524.00	295043.58	0.32	W2_S34
Pf3D7_08_v3	547896-551057	2209884.00	1023991.11	2.16	W2_S34
Pf3D7_11_v3	1292966-1296696	193944.00	1169392.73	0.17	W2_S34
Pf3D7_13_v3	1724600-1727877	2705816.00	2781959.78	0.97	W2_S34
Pf3D7_MIT_v3	3492-4622	3533184.00	2578435.31	1.37	W2_S34
Pf3D7_01_v3	177187-181825	209722.00	595040.13	0.35	S1528-GH_S13
Pf3D7_03_v3	221112-223145	904076.00	469537.05	1.93	S1528-GH_S13
Pf3D7_04_v3	747897-750065	744109.00	690108.73	1.08	S1528-GH_S13
Pf3D7_05_v3	955955-963095	1352691.00	883466.65	1.53	S1528-GH_S13
Pf3D7_07_v3	402385-406341	331760.00	271664.74	1.22	S1528-GH_S13
Pf3D7_08_v3	547896-551057	2330474.00	870606.04	2.68	S1528-GH_S13
Pf3D7_11_v3	1292966-1296696	612393.00	958627.70	0.64	S1528-GH_S13
Pf3D7_13_v3	1724600-1727877	2872782.00	2541585.15	1.13	S1528-GH_S13
Pf3D7_MIT_v3	3492-4622	2872274.00	1986326.02	1.45	S1528-GH_S13
Pf3D7_01_v3	177187-181825	152939.00	537689.74	0.28	10258-GH-D42_S20
Pf3D7_03_v3	221112-223145	1212530.00	546223.49	2.22	10258-GH-D42_S20
Pf3D7_04_v3	747897-750065	728717.00	632562.63	1.15	10258-GH-D42_S20
Pf3D7_05_v3	955955-963095	1489062.00	767679.36	1.94	10258-GH-D42_S20
Pf3D7_07_v3	402385-406341	266239.00	245912.19	1.08	10258-GH-D42_S20
Pf3D7_08_v3	547896-551057	3051018.00	783047.48	3.90	10258-GH-D42_S20
Pf3D7_11_v3	1292966-1296696	816336.00	1152675.84	0.71	10258-GH-D42_S20
Pf3D7_13_v3	1724600-1727877	2899218.00	2926780.26	0.99	10258-GH-D42_S20
Pf3D7_MIT_v3	3492-4622	1902501.00	2071248.14	0.92	10258-GH-D42_S20
Pf3D7_01_v3	177187-181825	196135.00	595729.21	0.33	10262-GH-D42_S21
Pf3D7_03_v3	221112-223145	1055642.00	508223.42	2.08	10262-GH-D42_S21
Pf3D7_04_v3	747897-750065	542506.00	669907.46	0.81	10262-GH-D42_S21
Pf3D7_05_v3	955955-963095	1207800.00	838639.96	1.44	10262-GH-D42_S21
Pf3D7_07_v3	402385-406341	219270.00	253450.52	0.87	10262-GH-D42_S21
Pf3D7_08_v3	547896-551057	2665185.00	857123.23	3.11	10262-GH-D42_S21
Pf3D7_11_v3	1292966-1296696	848129.00	1073561.80	0.79	10262-GH-D42_S21
Pf3D7_13_v3	1724600-1727877	2854945.00	2687457.96	1.06	10262-GH-D42_S21
Pf3D7_MIT_v3	3492-4622	3058604.00	2180207.27	1.40	10262-GH-D42_S21
Pf3D7_01_v3	177187-181825	244942.00	548097.39	0.45	S1529-GH_S14
Pf3D7_03_v3	221112-223145	1186505.00	560249.09	2.12	S1529-GH_S14
Pf3D7_04_v3	747897-750065	564236.00	627847.63	0.90	S1529-GH_S14
Pf3D7_05_v3	955955-963095	1245813.00	755331.44	1.65	S1529-GH_S14
Pf3D7_07_v3	402385-406341	249021.00	242874.61	1.03	S1529-GH_S14
Pf3D7_08_v3	547896-551057	3037259.00	785364.33	3.87	S1529-GH_S14
Pf3D7_11_v3	1292966-1296696	1023195.00	1231251.34	0.83	S1529-GH_S14
Pf3D7_13_v3	1724600-1727877	2940676.00	3016856.67	0.97	S1529-GH_S14
Pf3D7_MIT_v3	3492-4622	1822482.00	2161120.68	0.84	S1529-GH_S14
Pf3D7_01_v3	177187-181825	143039.00	537994.44	0.27	S1398-GH_S7
Pf3D7_03_v3	221112-223145	1078624.00	456403.21	2.36	S1398-GH_S7
Pf3D7_04_v3	747897-750065	625577.00	615944.12	1.02	S1398-GH_S7
Pf3D7_05_v3	955955-963095	1218618.00	790098.31	1.54	S1398-GH_S7
Pf3D7_07_v3	402385-406341	195266.00	235261.27	0.83	S1398-GH_S7
Pf3D7_08_v3	547896-551057	2463125.00	781877.09	3.15	S1398-GH_S7
Pf3D7_11_v3	1292966-1296696	577687.00	910572.59	0.63	S1398-GH_S7
Pf3D7_13_v3	1724600-1727877	2814010.00	2384516.26	1.18	S1398-GH_S7
Pf3D7_MIT_v3	3492-4622	3142830.00	1907213.30	1.65	S1398-GH_S7
Pf3D7_01_v3	177187-181825	706.00	4505.26	0.16	10166-GH-D42_S11
Pf3D7_03_v3	221112-223145	12504.00	5452.48	2.29	10166-GH-D42_S11
Pf3D7_04_v3	747897-750065	7092.00	2843.05	2.49	10166-GH-D42_S11
Pf3D7_05_v3	955955-963095	8271.00	6266.50	1.32	10166-GH-D42_S11
Pf3D7_07_v3	402385-406341	1552.00	2019.40	0.77	10166-GH-D42_S11
Pf3D7_08_v3	547896-551057	26057.00	6505.74	4.01	10166-GH-D42_S11
Pf3D7_11_v3	1292966-1296696	6376.00	10041.79	0.63	10166-GH-D42_S11
Pf3D7_13_v3	1724600-1727877	28635.00	19601.96	1.46	10166-GH-D42_S11
Pf3D7_MIT_v3	3492-4622	20592.00	9407.89	2.19	10166-GH-D42_S11
Pf3D7_01_v3	177187-181825	147356.00	391292.37	0.38	S1281-GH_S5
Pf3D7_03_v3	221112-223145	555996.00	312678.97	1.78	S1281-GH_S5
Pf3D7_04_v3	747897-750065	341967.00	434773.00	0.79	S1281-GH_S5
Pf3D7_05_v3	955955-963095	766878.00	561532.92	1.37	S1281-GH_S5
Pf3D7_07_v3	402385-406341	134944.00	171261.04	0.79	S1281-GH_S5
Pf3D7_08_v3	547896-551057	1627256.00	565680.16	2.88	S1281-GH_S5
Pf3D7_11_v3	1292966-1296696	578100.00	650402.45	0.89	S1281-GH_S5
Pf3D7_13_v3	1724600-1727877	2212808.00	1642812.81	1.35	S1281-GH_S5
Pf3D7_MIT_v3	3492-4622	1915391.00	1361998.73	1.41	S1281-GH_S5
